Reference, Value, Footprint, Datasheet
U1,IC_MCP73831,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5,
D2,LED,LEDs:LED-0603,
LIPOLY1,BATTERY,watch-v4:Pin_Header_Straight_1x02,
R2,10kΩ,Resistors_SMD:R_0603,
R1,47Ω,Resistors_SMD:R_0603,
Q1,MOSFET_P,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,
D1,DIODESCH,Diodes_SMD:SOD-123,
R3,R100kΩ,Resistors_SMD:R_0603,
U2,MAX1722,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5,
L1,10uH,Resistors_SMD:R_1210,
U3,DS3231,SMD_Packages:SOIC-8-N,
R5,4.7k,Resistors_SMD:R_0603,
R6,4.7k,Resistors_SMD:R_0603,
U4,LSM9DS0,watch-v4:QFN-24-NO-CENTER4x4mm_Pitch0.5mm,
C5,.22uf,Capacitors_SMD:C_0603,
C6,4.7uf,Capacitors_SMD:C_0603,
C7,10uf,Capacitors_SMD:C_0603,
C8,0.1uf,Capacitors_SMD:C_0603,
J1,CONN_10,watch-v4:omron_XF2M-1015-1A-2,
U5,NRF51822,Housings_DFN_QFN:UQFN-48-1EP_6x6mm_Pitch0.4mm,
C10,12pf,Capacitors_SMD:C_0603,
12pf1,C9,Capacitors_SMD:C_0603,
X1,16mhz,watch-v4:SMD-Crystal,
ANT1,-,watch-v4:antenna,
U6,BALUN,watch-v4:BALUN,
C12,2.2nf,Capacitors_SMD:C_0603,
SW1,SPST,watch-v4:panasonic-evpav-switch,
SW2,SPST,watch-v4:panasonic-evpav-switch,
SW3,SPST,watch-v4:panasonic-evpav-switch,
XL1,USB_MICRO_B,watch-v4:USB_Micro-B,
C13,0.1uf,Capacitors_SMD:C_0603,
C14,0.1uf,Capacitors_SMD:C_0603,
P1,array connection,watch-v4:Pin_Header_Straight_1x02,
C2,4.7uf,Capacitors_SMD:C_0603,
C1,1uf,Capacitors_SMD:C_0603,
C3,4.7uf,Capacitors_SMD:C_0603,
